Loan Id,Duration,Received,Persons Received From Total,Banks Received,Paybills Received Others
,12,620285.8,438305,132210,3750
,12,646007.52,552756,128166.8,320
,12,221527,220917,4460,91744
,6,708262.65,690861,24670,11000
recwOeQ8pFIlb8eY9,9,290110,285100,13350,720
,6,308005.59,307909,87360,721170
,6,58591,58141,30350,210
,12,647155,645679,315050,300
,12,319571.95,292258,49210,48092
,12,321614.5,319894,46620,210
,6,97603,97553,9244,138209
,6,263501,263471,55700,1040
rec2tsFHLgsqjJqwX,9,1828974.38,1827240,94600,9510
,12,69130,69130,89500,0
recVKHfJlLHH3HGFl,5,75205.48,61980,7000,0
receRLU39BmGXPO9j,12,291194.14,258230,518552,25500
recBAghIDXh7yBysI,6,324733,324083,96372,20129
recEMEt6Zwvp2fHk7,9,4179733.31,3784525,1002300,471296.9
recxOC3mfJnnvIPQl,12,7573212.37,7528766,3076020,116950
,12,755569.83,748169,91500,7225
,6,611525.41,522743,421989,4930
recWVl0XREXTWboNb,6,72695.13,63740,169419,66795
,12,121104.13,120590,52840,34450
,12,2033483.1,1564009,3352710.5,1101786
recFXNqBr1zP6TrF9,12,370708,370844,119348,12419
,12,259669.28,244375,60500,5209
,12,159626.31,158862,41670,1260
,12,806387.09,787958,8790,37990
,12,130165.12,116888,10500,740608
recVkZGkFGJOx8AV2,12,217150.26,196677,263790,7000
,6,115564.78,99822,153920,9010
recvnKSOi2HwXU2Xl,12,846484.98,679612,141800,159089
,12,22107.16,18204,43667,30
,12,64473.11,29081,123650,75075
,12,593081.3,427168,87871,36752
reciSI4Taz5DHZbtT,12,3456315,3388515,1351045,94700
,12,22107.16,18204,43667,20
,12,334538,334288,5590,0
rectnHIakFXmg857G,12,92669.32,91020,0,4665
,6,959611.74,953285,734220,31560
rechEVzHq8b7D3TjN,6,112620.24,76473,18266,210
,12,44538.25,41693,0,148879
,12,318939.24,315886,58632,2900
,12,405312,397412,12410,10
recKM13joRw0MOeth,6,183332.13,156940,596875,13702
recSbquk0SBAvDF3D,12,177817,177817,357260,10
