Loan Id,Duration,Received,Persons Received From Total,Banks Received,Paybills Received Others
recrTHnAQi9LLpbNh,12,3342121,3327781,2428090,359009
recQ8I6b2SqENak7z,6,124374.2,103985,15390,0
rec6ySPxPhQmuBCKP,6,84689,82209,44130,3080
,12,211543,209043,20630,0
,12,1147111.79,1149709,286750,407
,6,115695,115945,58790,560
,6,93307.39,77452,44380,980
,4,250596,240996,113300,30
recCb8XB2wHQDk56L,12,11798621.96,11722121,7498315,517200
recSkuamTfGilRJAf,6,306757.17,287007,0,0
recSkuamTfGilRJAf,6,306757.17,287007,0,0
rec515sAXR8r095U2,6,320826,320826,50250,21096
,12,376198.35,348374,156200,23937
rec5eMjKZCxy4G9eJ,12,1074305.47,1038905,324580,30507
,6,474297.79,404718,94629,27112
recFhjNyuWg3O1wPF,12,498289,498039,15340,720
,6,43257.13,34665,156160,150859.74
,12,98728,93878,74151,0
,6,54973.28,49731,32970,180
rechRGfW529AsJ2f0,11,687959.34,366320,111293,77644
recgImgXiD0blR5YJ,6,3714398.74,2959671,953974,178400
recMLVbQHTbaFcGmJ,12,142917,142937,154600,72
,6,246319.48,127116,123900,0
,12,349576,349526,1168289,7
,6,470408.43,462200,160266,10152
,12,296253,296173,24537,7597
recxLCH0SkNQfNRXo,6,645810.94,629367,73073,14279
reccuBVqyTXWp21et,12,53844,53724,298628,2019
,12,126914.37,66904,72129,5998
recWubXqAZji7K1kD,12,193272,176022,25950,31185
recRuC55WFsQtSE5N,12,740738,692774,45230,125019
,12,91346,91391,0,35
,12,495427,495477,710740,220
recrWn5ty2dP28H5G,12,747679.03,695448,155153,2365
,2,7889,7889,9319,3
,4,206244,206044,6250,810
,12,908604.12,488865,1954376,375520
recOb7cOLdxnYuqaV,12,896438.27,591130,580160,14180
recbZMzHZkzzSZyCv,12,412627,412691,324535,9502
,5,222207,222207,50849,333999
recm6SozCTsIo9KzF,6,224370.71,217572,1625,160
,4,206244,206044,6250,810
,6,190636.62,183365,93625,12710
recwNV8yF81xLJv6f,12,480377,479481,315385,24775
,4,206244,206044,6250,800
rec3aNG9OkmE44shB,6,118523.42,109052,13640,5790
recx73xHUs72dLmoV,6,115215.74,112756,203284,9400
,6,666112,666112,38000,2000
recHbqeC4YMs2vgPq,6,203090,202770,16000,20850
,12,211754.75,135849,80800,10
,12,211754.75,135849,80800,10
,6,57960,57880,1530,0
,12,909819.81,824549,590562,14640
,6,402284.84,390266,24500,30000
recvWUgEcg1kRyAKB,6,71536,71436,38011,10
,10,6751992.22,6232160,13750887,107137
rec3fZiSmW89IBJNG,12,2204395,2203665,383145,245588
,12,171453,171453,260365,48050
,5,180721.75,122659,80800,0
recEuCWEbNU6LMjqJ,6,567521.4,500306,3400,16120
recfgUYqphCjZNoRT,9,1619544,1303124,1066896,299634
recfgUYqphCjZNoRT,9,1619544,1303124,1066896,299634
,12,1707597,1706017,609290.68,15543
recQtiPbNvzXH5eZz,12,365781,365821,12980,230
,12,350038,344078,58350,10
,12,350038,344078,58350,10
,12,1797802.29,1736265,1030460,29371.95
,6,1939272,1939272,428450,40660
,1,64050,64050,490000,0
rec0DOnum5tFCkmVW,12,230945.57,170772,785288,296797
,6,248996.95,233172,8200,0
,12,1492903.87,1416802,208409,92531
recCVkhnq4ndljuPD,6,2266712,2266182,955210,1508038.72
rech8jg7ufhREIaJm,6,206239.4,154681,15250,55363
,12,1132606.52,1046599,1370150,99691.5
rec4281ZRITo1Z5el,12,1018646.11,982543,208230,5582
recgD9FmVepMRmkFn,6,517370.84,492560,30601,3815
,12,1069546,1069496,715692,9055
recrTfQBt1tRHhOCF,12,1323095,1269075,101330,3605
,6,22294,22197,32000,5667
recSOApfF5nkrpJit,6,91505,85235,108100,0
recBfIKnuWcDn2d3S,12,231943.7,208970,292099,154636
,5,696769.63,460965,126200,366847
,12,1013829.82,992668,52560,5037
recodOUrBCiJIr1oX,12,966176,964326,114021,32210
,12,137561.96,103023,505600,1196
,6,3268692,2877944,3085379,1080288
,7,137848,137848,35715,0
,12,51678,51678,22960,410
recYlFxjiVhKldFZ2,6,584677.74,506076,136980,300
,6,385560.04,319754,6050,4988
,6,625917.38,388753,381480,20646
recvrJI46k7FDTAqo,12,235182,234422,109780,47543.47
reccl8l8sQ69dz9P2,4,1403850,1404850,1369450,10
reccl8l8sQ69dz9P2,4,1403850,1404850,1369450,10
recbHgRoLac8Z8nYZ,11,1102498.6,898922,239191,235800
recbHgRoLac8Z8nYZ,11,1102498.6,898922,239191,235800
,12,269411,269211,22284,475
,6,959285.01,850685,32514,60444
reccl8l8sQ69dz9P2,4,1403850,1404850,1367450,0
rectcU0wUQ8yxrcB2,12,101992.78,96706,210553,800
,6,46804,46644,24400,0
rec2CkSxxa8P0XMhw,6,131451.18,125806,23100,6470
recATTYtwyftvXMOh,6,82390.35,46785,3300,100
,6,166038,166038,296277,8453
,12,1883354.51,1666136,473850,6800
,12,53164,51764,50297,30
,12,53164,51764,50297,30
,12,53164,51764,50297,30
,12,1227967.47,829068,1035490,73650
recPcF013hWPAwf4c,12,130618.52,72330,500,46734
,12,1003433.34,986894,313815,1130
,12,1003433.34,986894,313815,1130
recRSF8oZ5ATqFhSU,6,343539.98,298069,17350,4951
,11,6070503.37,4959598,1484607,792241
recO9wJdCIc2zXg1x,12,338175.32,209829,200230,150
recHWKpc2srYhmpDF,6,333502.63,312916,255994,29391
,5,575586.2,395970,686090,10
,6,25482,25502,61823,60
,13,1666594.57,1280127,277450,8238
recSBh5kbYQGnruZz,12,1161783,1156383,75871,31584
,12,146206.29,110290,612053,1500
,7,95521.15,94380,15205,810
,6,327566.54,292088,10057,4640
,12,61016,60816,16000,222
,12,17471,17471,10000,20
,6,722139.19,690485,70891,11600
recOMZtp93tZAwNOm,12,773905.38,717298,112550,51323
,6,307149.17,299251,43700,3516
rechERMKJvwvIlC8E,12,566138,558508,36300,2200
recm8Feqm8KbX364E,6,1380938.78,1146248,1701530,500
,6,52196.25,36650,86200,130
,6,52196.25,36650,86200,130
recyFEfYw3D1YsJLq,6,139269,139299,13200,207812.64
recltpvtKArFhi1mJ,11,6110487.14,6034423,640835,13216
,12,208163.06,200225,1500,2628.6
rec9lpLJcHsEuyfcu,12,899446.06,787446,110890,17217
rec9lpLJcHsEuyfcu,12,899446.06,787446,110890,17217
recAgBG0Vqvck7R33,12,2391426.03,2130508,7642335,400060
rec6OE6CiQQfMFCrT,6,56512,56512,2400,0
,4,200959,200959,500,430
,4,708625,708625,144125,0
,12,980867.32,911083,135432,9100
,12,1233911,1216481,29719,55691
recElcYZIMfZV6EKX,12,1641774,1639774,2199442,13507
recMIGPRPpSnI9G9V,11,620841,384900,641300,2206967
recFSSYJc8YBkWOIB,6,616147,599057,31040,212187
rec2fa3Ox24azVFzN,12,579974.04,439451,7320,1591
reclHUlOYXZVk9dyO,12,5835671.36,5152371,425500,24513
,12,204714.35,187273,30360,8700
,12,136416.35,134405,24200,457
,12,136416.35,134405,24200,457
,12,103963,103463,19450,4000
,6,187637.81,182798,46660,0
,6,137465,137485,717360,1250
recT4GMLHUdREa7DW,12,341611.37,254045,131600,2242
rectQezk6I939uCDB,12,411207.39,382443,122549,38719
recUG9e1mPYXeeZoL,6,52307,51962,123390,150
recUG9e1mPYXeeZoL,6,52307,51962,123390,150
recOCftDLcOAbZZB7,12,273336,264678,0,0
recID9QFZdmY41JuD,6,417511,417041,4660,15643
recmlNmBOBXsliGU9,12,151863,149293,13570,16617
recnQLtHIUSRwFRn0,7,1962743.51,1354007,553380,1800
recnQLtHIUSRwFRn0,7,1962743.51,1354007,553380,1800
recnQLtHIUSRwFRn0,7,1962743.51,1354007,553380,1800
,6,60716.36,60460,150,10
,12,219180.96,212502,20870,422
,6,600993.71,592032,747900,6260
recsNt6uhEnAW88N9,6,63284.06,57018,24700,100
recCtErD79gtyVtyP,6,1946699.79,1929910,1168800,49010
,12,649306.22,549404,154991,612
recbqkVgBLVIml8WB,12,186070,186342,67195,10
recYUu97R83csYgZu,6,319132.26,287143,26100,31780
recY3UIBuhdi5hpLL,12,847261.93,816068,26852,120.03
,11,1087804.29,828086,46220,5507
,11,1087804.29,828086,46220,5507
,12,483293,483293,443647,13
,12,499021.74,463720,2246431,65323
recnIXNnxByVTGsKF,12,266663,266683,66215,180881.03
recz8ds3Y5RlsFXdp,12,268744.78,241839,169995,0
,12,2579312,2568612,381290,100243
,9,122833.17,97773,1350,1620
recunxml37sTu1v44,9,845161,844126,256735,1610
rec6hsniEYhcJkGx7,12,1609220,1608134,276949,68863
,6,321681.04,270973,76443,180
recDBgbMy3BqlqtUe,6,155586.69,109248,60420,550
,6,127068.79,94185,151310.5,17485
,6,61030.82,47722,349463,5775.95
,6,489761.13,458649,123066,3668
rechRmVhB9qvxJl1V,6,200726.34,186377,1000,0
,12,165137,140362,2500,1200
recv18f7t2ZPW6c0G,12,449862.26,391736,27170,17
recDAQmlCYNSQuRD1,6,578789,542489,62100,0
recDAQmlCYNSQuRD1,6,578789,542489,62100,0
,12,426902.33,385458,75600,10
recLmxkAyxqutGmhm,6,346423.8,272452,77730,18000
,12,105881.35,86777,204805,9230
,12,81498.13,79855,6450,8000
reckRnshk1XGhr1Ni,6,212283,62202,4625,1370
,6,1072029,1070889,205100,2737
,12,1223721.14,553914,77375,8297
,12,1866663,1866743,440500,7700
,12,1866663,1866743,440500,7700
,8,655546.32,577229,24880,8735
,12,159197,155920,219134,150
recqjSD6FJZ0EUf0o,6,364377.69,361025,795434,30360
,12,152574,152574,27180,2500
,12,152574,152574,27180,2500
recakfug9nMRDt7Jk,10,1271985.76,1117525,124400,105216
recQPHPCH2YCy0ij9,9,7760015.16,6654102,1442519,6500
recQPHPCH2YCy0ij9,9,7760015.16,6654102,1442519,6500
recQPHPCH2YCy0ij9,9,7760015.16,6654102,1442519,6500
,6,891958.27,803039,1849685,0
,6,1276711,1276711,336450,455786
recSpyDvwkYbY027u,12,353873,352853,114820,2940
recq0O9aqotsLK57E,5,49995,49995,34055,48367.25
recMudKTz52ZXTuTq,12,210688,211528,62796,0
,4,14080,13980,31200,10
,6,83987,83987,21100,0
,12,187617.46,184284,43100,10
recGOaDQUYGHj3tN9,6,237488.46,180947,19740,600
rec3lG9vW3k85wMc2,12,109011.83,95421,208111.75,21808
,6,93702.32,87260,7000,27988
,6,93702.32,87260,7000,27988
,6,93702.32,87260,7000,27988
rec74EBcil5CyOXSD,12,460899.98,359744,8590,13933.99
rec74EBcil5CyOXSD,12,460899.98,359744,8590,13933.99
recLTLatzrJuq6p4t,12,4564552,4564651,1066701,73
,12,280851,279041,90115,93835
,6,1537464,1515659,325004,377782
rec9p0J6mYimHRWVV,6,268858.65,203834,103386,0
rec1tjCpR4iCZN5xB,6,422803.58,374590,891908,400350
recz7d3VB7wgDx5hn,6,81548,81398,686,15
recsxHsX1gIIxFY7G,10,626537,619577,3390,201880
,12,319650,317865,58009,31045
recjtiIev3Mu7OGlr,12,996040.23,855053,627960,13987
,6,95460,95480,5791,18257
,6,118949.24,116394,22001,26802
recD8qvj9pVggnLZv,7,4215760,4215760,1546319,4750
recq9ef2FRUAP0s0w,5,33385,33385,62227,0
,6,48043,47405,0,0
,6,283520,283520,20000,399
,6,465947,464447,251700,42550
,8,403319.41,331522,54550,20
,6,1102111.81,643759,34830,141850
recs7Lv8Q9Qt6CzfU,6,47317,45317,2000,15
recUh2dq7m0DZPA9a,12,370560.61,279154,72750,17850
recOyPLis1OCfbZgi,12,401909,261934,5450,3110
recc2b9ioilY4WTrA,6,164209,164209,293721,4940
,12,55758,38258,1826,164
recISGh56J0tJmTFi,12,199084.7,197019,34910,6520
recISGh56J0tJmTFi,12,199084.7,197019,34910,6520
recISGh56J0tJmTFi,12,199084.7,197019,34910,6520
,3,3686867,3682927,919061.4,758691
,12,2134195,2133145,1243036.4,0
,9,1563372.64,1186380,18940,347427
recEutvAoGKipt8aA,6,24421.54,20690,7580,16274
,3,3686867,3682927,919061.4,736691
,12,93301,93001,200,68143
,12,93301,93001,200,68143
,12,367839.13,249380,220150,20
,6,311261,311261,97398,138941
recAEhGi5rl5k2PTG,12,57869.46,38817,201080,36384.14
,6,265565,265115,10670,810
,6,93336,91736,15820,0
,6,93336,91736,15820,0
recfUpPo8r4Q6mHNE,10,487580.73,485328,83029,120881
recJl8fQTWo8fIveZ,6,225388.19,174017,186333,710
recJl8fQTWo8fIveZ,6,225388.19,174017,186333,710
recJl8fQTWo8fIveZ,6,225388.19,174017,186333,710
,6,3250104,3231344,5918600,1718069
,6,3250104,3231344,5918600,1718069
rectcuH4pARkLvdYK,6,36993.9,25828,163705,0
recOt29Jc9OjZodVm,6,5232148.98,4841295,8804489,302864
recD4HyCYesNzCsBe,12,519497.94,483239,184010,20520
,6,41702,41702,2300,360
recSdRcUnYjRr1RNz,6,643101.53,621286,338830,0
,12,598374.61,520498,24421,4254
,12,451910,460569,435343,39645
,12,451910,460569,435343,39645
,12,927802,928302,30980,40054
,12,1205369,1208169,41326,7
,12,85658.58,73848,185776,10
,6,388176.94,369156,153215,564097
recdzbLJcN4Kq4wzi,12,348785.23,347097,2558,1375
recdzbLJcN4Kq4wzi,12,348785.23,347097,2558,1375
,6,223957,224607,29980,60474
recxQdxBvmsNgA77h,6,157544.45,94108,63780,3750
,12,4863499.81,4860922,1295010,192598.59
recgWR5U5uLoVrE3u,6,7249606,7252726,12592209,461500
recHeaADXGbaoPVOW,12,239528.6,236883,101420,707
,12,160479.17,134455,298450,0
,12,2302516.32,2176075,810380,0
rec8Q3PCjeYssivzX,12,454046,441876,34416.75,3533
recUqVoOoFkRpEGeP,6,110583.51,99914,4000,10
rec4eEcjiXAhf8nqq,12,316808,316808,2560030,51857
rec4eEcjiXAhf8nqq,12,316808,316808,2560030,51857
,5,1330,1240,23700,0
,12,130480.03,111179,4077,400
,12,31436,31696,7746,620
,12,927802,928302,30980,40054
,12,927802,928302,30980,40054
recCOShrVQDbeOlVx,6,32253,32153,79380,950
rec4RdJEZ1hmrIwlL,12,117346.12,112998,1130,7084
rechDbUiuak0hiuW7,12,107959,107959,82169,130
,6,205191,191906,118830,7228
,12,610222.07,609794,91228,54747
,12,228336.85,206258,102635,106323
rec53wjFnYYTcQrBH,6,496206.87,553831,754880,8000
rece4GC4e4YaYS1sB,12,901711,907311,77850,40188
,12,87908.28,38409,1130630,31379.4
recLWWetoHVK0G9AD,12,3556463.57,2717767,670600,1000
rec22lqFWHBNezk2G,10,240541,240541,362650,312
recqSEIVfkb2DytoQ,12,751279.7,707046,156038,33030
recJ3bwxWeW6b7d06,11,371294.23,276332,252186,1091938
recJ3bwxWeW6b7d06,11,371294.23,276332,252186,1091938
,6,137314,137314,57360,16250
recLphyte6NpraSnl,6,1498609.13,1387595,916713,331133
,12,64143,64463,136380,19100
reclLdg0ereH20cTu,6,1537780.39,1487194,2046100,42528
,10,1231252.57,1026647,62220,400
,10,1231252.57,1026647,62220,400
rec4Rg9M5YYeM0gla,12,953568,953568,410890,44069
recMriMigHUfS9Cze,6,99691.37,67742,78255,20
recMriMigHUfS9Cze,6,99691.37,67742,78255,20
recFTBunczCzSeqNW,12,23556,23556,13430,3220
rec9ijt21BmYn4Gv5,9,2162314.68,1730633,138957,24107
,2,646440.37,32690,570,1080
,2,646440.37,32690,570,1080
,11,6905.1,2141,17885,8054
,12,500240,500240,54,10166
rec3gXpzWEB7nTmx1,6,495818.42,472924,402330,49945
recJ69NKQo7pGxLCr,6,252554.99,129728,360967.82,49679
recUVIGARfitIajOE,6,435064.97,297823,195178,177649
recUVIGARfitIajOE,6,435064.97,297823,195178,177649
recnU673bmBmmiYXY,12,15363,15363,57451,60
recvuswna1F3BdNtm,6,203855,203870,71078,23386
,12,54759.68,45103,30500,116938.01
,6,553557.71,546205,30125,39778
recSEMPtRV1ogbjK7,6,281285,281235,137817,55175
rec4ekfoAxS3PdtzW,6,450340.38,434978,7350,500
reciWo85CpFsPKLrO,6,287598,263048,23875,66414
,6,294891.12,290417,1524200,62390
recrZZtkNrT23VW11,11,72525.98,50173,283687,8200
,12,282015,282015,66060,10
,12,1949647,1949597,79130,950
rec4lhbOnzmJssgcj,6,212828.96,149429,115355,110
,6,448565.64,423956,22503,67499
,6,448565.64,423956,22503,67499
,5,159844.69,68950,3000,171370
,12,144338,144338,70000,1990
,12,244292,243542,332310,6698.9
recdxx42bmAnWd3qJ,6,109183,109203,12636,22499
recv2chLShnJvktKH,12,324387,323487,286172,18000
recKQhJLdPvPW326y,12,2884529,2884529,3368885,84053.99
,12,282863.97,277013,29640,154836
,6,265351,265351,126456,81828
recbwLz18cafi9kzJ,12,182270,182270,85850,10379
recsGmbYKPHUvbIun,12,152327,152327,2450,0
,12,210608,210668,9230,2317
,12,186085,186085,34500,3478
recukIjBOIqzv1yjt,6,23213.43,19590,169838,8270
recukIjBOIqzv1yjt,6,23213.43,19590,169838,8270
,12,2796022.01,2721604,825649,367
,11,1165896.47,1147113,44350,6012
,11,1165896.47,1147113,44350,6012
,12,495859,495704,220778,63774.99
,12,495859,495704,220778,63774.99
recMSF8YV2srM0b1v,6,420736.13,351404,218840,270625
,4,1590225.32,650970,1742230,40
recEI51bMY22o3zYb,6,81158.92,79146,34330,8865
recDHnYhsXVAX6Ut4,12,568680,568680,50180,30313
,12,2079900.37,1625384,900870,7462
recxTq7vIWEbRkw6X,12,158033.51,150131,6490,170
recrcYBKAk9kHGMFe,12,762322,762107,164720,20561
rec0SI9JVKKj8729X,6,557206,557216,50659,5275
recYKIcd5MU26A49Q,12,1771400,1412214,298276,201152
,6,4220,4220,230,232393
,4,376885,104062,39980,1830
recYHK7yoidKFj6Vq,6,77424,77414,90105,3616
rec3JOWE1e3uaNfQK,6,105702.55,82842,10900,1500
,8,152186,152186,0,140
rectEtoo5Af1UhBqY,11,237515.35,223762,4700,1377
,6,2177872.21,2112961,132100,128956.26
recLrHBaNn3hHU853,6,32670.85,31635,112132,18873
recLrHBaNn3hHU853,6,32670.85,31635,112132,18873
recw9J25WNvk4UER5,12,69780,69600,394580,10130
recogDXMt7YHSSSRv,12,1483620,1483341,264230,24400
,6,500795,500015,135339,23514
,6,500795,500015,135339,23514
,6,500795,500015,135339,23514
rec4cWMkEGXbs2POs,6,754446,755446,75060,245
reckyS3qWEUFvuNaD,12,1321532.34,1101514,178669,11828
recX2gSusjLbuD72D,12,1700701.17,1656265,312325,707823
,12,408944,407424,3950,930
recMIwe2xHTbduyuy,12,28089,29089,900,30
,12,208402,166772,15750,7150
reccHz1zCqDHufelE,6,237226,233266,15100,20973
recUKNMEYowxKyGwX,12,855491,852861,569835,21750
recF2CHStKr3cEQwI,6,199659.93,152695,316822,600852
,12,212801.42,163739,117655,7310
,9,20065,20065,58850,50
,10,57618.03,57549,13628,100
,12,1777483,1771458,450750,7
recj8buBC19a1vpsv,12,1362011.62,1125329,1401841,456197.02
recj8buBC19a1vpsv,12,1362011.62,1125329,1401841,456197.02
,6,438233,436573,107937,55584
,9,141950,141670,950,20
recpSgLxWQIXC6qfw,9,1068974,1067074,28621,57661
,9,19972,19822,6000,716
recQyJFH7Jo2VTn2F,6,179553,179593,111120,10
,12,802649,795909,30660,15553
,12,63872,63372,2000,150
,4,1596563.32,656170,1719130,40
,5,41309,41309,5600,0
recvF6hZRgqWMpnyj,12,524584,524584,53188,0
recPEISgOTkH4U53o,6,681321.62,490086,17600,300
,6,287000.27,263230,2481180,0
,12,97481,97481,41035,0
rec5rjzSJfnZJERWQ,12,54869.97,39960,139286,20
recypRtxmqNoJJsLC,12,216097,216057,38670,0
,6,179389,178689,31760,57062
recZzG6vDlQySyaHX,12,473126.24,368567,216975,133982
,7,30641,30641,0,0
,8,57407,58447,76200,45112
rect7hhXRFo9z8ICl,7,3654240.7,2523999,720200,72499
,6,351873,356893,950,4288
rec9b26HfFfcoQtf5,6,193000,190950,3735,0
,12,120706.26,105430,50740,1307
,12,2808293,2808293,790350,24675
,12,105282,105282,0,0
recxt0xrZMYmNjaGS,11,1722147.68,1646224,514357,738000
,12,354124.9,307782,323940,37568
,6,1230617.82,923660,899976,0
,6,106416.65,81719,87294,11960
rec2Hm1FHw8d4Wtat,6,296164,296224,86270,4020
,6,35312.64,31195,35767,0
,6,190346,190346,0,1510
,6,236110,232965,41880,30
recD5duiqmkJG38QR,12,780967,778566,159344,7087
,6,303395.64,197464,37500,42198
recZ4oRFyBpSAJvpY,12,282310,282310,0,15374
recDnNrcRF4Ha7fSi,6,290819.83,261380,316707,65955
recH7hapx3YxSfMgB,6,472416,472366,851330,0
rec6xZfByaQn2FmYd,12,969593,975121,879435,70959
recGyG7dmtnRFqUzd,12,146410.34,135188,192300,0
recKtMwBIAINsG8zM,6,221262.35,196770,8000,0
recjP8zu8L2ZU1PBl,12,1488424.91,1404560,415375,7
,6,218554,215354,9300,600
receDqlVVU1WO0w3m,12,962229,962507,1107560,31640
receMCjMvYJvLJ75S,6,275559.72,268957,15700,0
recWdr9aPsHKxRfHi,6,1246475.67,1079281,674820,276607
recrS02AywX1fPTVC,12,96836.56,85930,286800,122500
reciGGQtqjXnjS6kl,12,272900.12,265343,241900,0
reciGGQtqjXnjS6kl,12,272900.12,265343,241900,0
recnleInT3bKjA3mM,6,591886.25,457526,79131,17582
recnleInT3bKjA3mM,6,591886.25,457526,79131,17582
,6,86452.73,61550,118040,18120
recPuF4G2b4FMtOj3,6,237647.27,234365,35610,190
recUFf0lqzJXFkOfl,6,123646.83,118154,1100,16248.55
,12,367839.13,249380,220150,20
recWA9MvLTk0ctXry,6,905280,907279,597350,6750
recKIWAxDz7zpRwFU,11,1677739.37,1167957,315930,11589
recaofd8YNK00YdE4,6,827639.11,527974,148560,87000
,6,404359,404359,29560,0
,6,404359,404359,29560,0
recmnxbiInIN07Q5q,6,94852,94852,83041,10000
recltCGVcNmyPgctN,12,562288,560963,669910,45359
,12,525351.3,516546,196017,313
,5,260752.84,177389,109400,0
recyoiu5s2fGsfNIV,12,100552.32,99537,350573,1458
,12,85140.27,72288,106110,70
,4,189951,189951,7460,20
,12,348213,348933,372465,52561
,12,132507,101559,49680,58767
,6,1291735.68,1148733,876462,6525
,12,181054,180104,3400,10175
,12,1243910.83,1045284,44300,128130
,12,958192.97,870013,197475,132757
,3,394441,394441,50470,14680
,6,234841,233243,600,0
recDyYPJ9754SgaHF,12,183260,180680,98950,2863
,5,82636,82636,27095,2212
,6,119570.94,112402,2850,600
,12,1119839.41,1076579,228730,55136
recaFaKdgrbWpLPbl,12,261889,236501,3980,730
,12,86269,86269,10760,0
,6,985519,931729,357211,850
,6,15063,15063,3200,0
recerI3pQoaUHXUL4,12,861163.72,709747,97380,895.99
,9,19260,19260,58850,30
,6,87432,87132,5350,0
rec6boiQX7IQuIo5I,12,1304322.01,1304099,148200,602672.02
recwJ4DCw113qCdFC,6,468552.9,226993,8740,6459
,12,58764,58764,36704.67,438
recB4rqXuamOOZFbp,6,191904,192554,67223,9239
,5,20609.58,19371,15849,0
reckNdLdIanCrtEWf,11,3692376.49,3505380,134070,590
,6,348866,345866,59160,2700
recar9XwgqGz0H4zY,12,201258.66,168216,274438,1000
,12,9487,9367,1860,10392
,4,1605025.32,655420,1731330,10
,12,211104,210404,2420,0
recGXw6t0GeNwjrlH,12,142292,142292,107376,2707
,12,53773,53803,85140,20371
reck14LoRWL5kVkoI,6,445287,445287,4700,100
recndBfsweLDT0ueK,6,390044.09,338273,8050,5009
recndBfsweLDT0ueK,6,390044.09,338273,8050,5009
recmwTLjL3AbVMWPq,6,330809.19,324952,4050,2000
,6,69521.39,55425,17650,2217
recIDJVy6uDsyNLWv,12,221528,221568,172680,36970
,6,291876,291326,77915,9570
recORwwB6IpXWj2Qq,6,320866.41,251501,72950,0
,6,1014071.64,984762,147820,45304
,12,107924,108174,9310,2
recjWfVbiRClJxlDe,12,294372.29,233426,1107470,36220
recc8IzbrjI91iG2H,12,1139033,1139073,470651,15937.97
reccuqNSNJkM6eeAc,12,78269,78087,56292,0
,12,1357534.6,1293573,247240,522
,12,440384.51,431483,431728,23875
rec9Gl9MMMZDmyCZ1,6,71880.43,63669,53000,240
recCT6PrEZxDcGOAh,6,505531.84,313151,223385,47836
,6,6884.95,4710,210200,1730
,12,105935,105910,29922,21340
,6,593002.79,540923,49500,10
reckiAD3G1OY74zQB,12,262009,253601,107985,102371
,6,3261513.73,2390736,737734,277518
,6,3261513.73,2390736,737734,277518
receJKnkirPGI50s6,12,1858430.93,1373494,241650,1042414
receJKnkirPGI50s6,12,1858430.93,1373494,241650,1042414
,2,329018,329588,81690,0
,12,68725,68725,2030,130
,6,72649,71129,3700,1997
recMRNBnWjHvP7hJ6,6,189108,189478,9455,1392
recMRNBnWjHvP7hJ6,6,189108,189478,9455,1392
recMRNBnWjHvP7hJ6,6,189108,189478,9455,1392
recBI3OBaFJcrgeX9,6,255752.86,226752,22910,5350
recFR1cTGwpLqPUiL,9,162878.13,157510,82850,20
recltHige00jdOYOC,6,415810.65,310010,330999,4225
recizHGLKlTnlJKBN,6,218173.31,144330,48539,64150
recI2U0lKLmANVrev,6,102354.89,87029,1250,0
recI2U0lKLmANVrev,6,102354.89,87029,1250,0
recDd28myGwjJq6VV,12,5090,4859,16690,2500
,6,908504.81,862341,96505,13219
rec2Swzj2RJAYYqhZ,6,137069,136869,1350,20
,12,86761.11,85377,500,10
,12,378691.68,302760,31231,68710
,12,491901,491531,28350,1125
recW7TgJWKBCTZCkY,11,800156.84,754667,219435,297
,12,225780.13,218509,78980,100
,12,1894285,1935840,792641.57,445612
recFR1cTGwpLqPUiL,9,162878.13,157510,82850,0
rec6cLK3An6Hkw2cI,6,496021,477291,93672,12924
rec3CGxwPGLhYveqZ,6,265392.68,186330,1443050,261000
,12,539288,418218,225660,3900
,12,539288,418218,225660,3900
,5,695867,695467,64000,12500
,12,60110.07,47599,232398,26512.07
,12,360153.44,339548,74229,345.5
recJr2j7NFda0FdeW,6,343675.31,245950,5300,6829
recOmnr0ziDjxgPME,12,186946,186946,32009,0
,6,73030,73030,468755,0
recKI0PIo2chgXF4R,6,739531.15,702720,299937,112537.2
,12,276413.82,264455,152549,4722
rechu3Wv3fYS8V2fi,12,1914771.42,1831917,183797,29000
rec3SapSmLoM5Oli2,6,190103,189903,2650,250
recJYektdRniq2KiM,6,289515,289515,11050,1389992
rec4GYwOzADFDIrvn,6,305962,305562,220170,150
rec4GYwOzADFDIrvn,6,305962,305562,220170,150
recdJHuKfj8jIecVw,12,2250366.53,2232037,584608,18771
recsUwSARrwhlHYkP,6,175831,162831,25450,0
recsUwSARrwhlHYkP,6,175831,162831,25450,0
recXO0CX52jRvOS6a,6,309109,309059,44530,4800
recvu0iB7MoVFkvzI,12,2699975.85,2369363,2007680,1275250
,12,1079162,1004323,906405,142963
receSDDbnZX9K4fLl,6,32128.89,30120,3410,45153
receSDDbnZX9K4fLl,6,32128.89,30120,3410,45153
receSDDbnZX9K4fLl,6,32128.89,30120,3410,45153
,10,381099,378999,22030,117
,12,121747,123977,539370,18151
recGHtKoXNjxirW7Z,12,175142.57,157299,6500,32117
rec7OjUjH91Ve3sWq,6,520580,517580,65680,60
recdmozLDjjjbMzog,12,643721,643806,90500,17458
,6,2830254.83,2728620,1459630,2406
,1,8265,8265,0,0
,12,251635.44,174166,209303,14865
recc11P7ByK66Okoc,12,130174,128861,34250,100525
,12,102756,102756,20520,15
,12,102756,102756,20520,15
rec8bkDuMya0jWcpP,6,231895.46,204697,25164,0
recPAM5quEe0c7fhd,6,700905,297815,36300,750
reckRt8bBFJTeORQ9,6,420050.3,250754,60900,1908
,6,322130,322130,791628,109542
,6,322130,322130,791628,109542
,6,322130,322130,791628,109542
recZdOXKFsVYRxz4P,12,186195.69,158748,149064,26286.74
